id,@id,addr:city,admin_level,alt_name,border_type,boundary,city,designation,district,is_in:city,kaynak,name,name:en,name:ku,name:ru,network,note,old_name,place,population,population:date,source,type,wall:material,@relations,wikidata,wikimedia_commons,wikipedia
relation/5635799,relation/5635799,,"8",,,administrative,,,,,,Kardelen Mahallesi,,,,,,,,,,,boundary,,,Q31189812,,
relation/5635841,relation/5635841,,"8",,,administrative,,,,,,İnönü Mahallesi,,,,,,,,,,,boundary,,,Q31189817,,
relation/5635858,relation/5635858,,"8",,,administrative,,,,,,Kentkoop Mahallesi,,,,,,,,,,,boundary,,,Q109389481,,
relation/6521565,relation/6521565,,"8",,,administrative,,,,,,Şirintepe Mahallesi,,,,,,,,,,,boundary,,,Q97229589,,
relation/6521760,relation/6521760,,"8",,,administrative,,,,,,Misket Mahallesi,,,,,,,,,,,boundary,,,Q31188662,,
relation/6652689,relation/6652689,,"8",,,administrative,,,,,,Malazgirt Mahallesi,,,,,,,,,,,boundary,,,Q109390486,,"tr:Malazgirt, Sincan"
relation/6652734,relation/6652734,,"8",,,administrative,,,,,,Tandoğan Mahallesi,,,,,,,,,,,boundary,,,Q97320831,,
relation/6693072,relation/6693072,,"8",,,administrative,,,,,,Fatih Mahallesi,,,,,,,,,,,boundary,,,Q97389404,,
relation/6693073,relation/6693073,,"8",,,administrative,,,,,,Atatürk Mahallesi,,,,,,,,,,,boundary,,,Q97389276,,
relation/6693076,relation/6693076,,"8",,,administrative,,,,,,Satıkadın Mahallesi,,,,,,,,,,,boundary,,,Q97389543,,
relation/6693080,relation/6693080,,"8",,,administrative,,,,,,Kanuni Sultan Süleyman Mahallesi,,,,,,,,,,,boundary,,,Q97389453,,
relation/6693102,relation/6693102,,"8",,,administrative,,,,,,Örencik Mahallesi,,,,,,,,,,,boundary,,,Q6463226,,
relation/6693103,relation/6693103,,"8",,,administrative,,,,,,Ciğir Mahallesi,,,,,,,,,,,boundary,,,Q15039847,,
relation/6693262,relation/6693262,,"8",,,administrative,,,,,,Günbaşı Mahallesi,,,,,,,,,,,boundary,,,Q5626918,,
